time,open,high,low,close,volume
2023-01-03,15.44,15.93,15.4,15.93,1550148
2023-01-04,16.03,16.03,15.82,15.89,1643309
2023-01-05,15.96,16.14,15.89,16.03,2107285
2023-01-06,16.0,16.38,15.86,16.24,3407310
2023-01-09,16.38,16.38,16.1,16.21,1748795
2023-01-10,16.31,16.45,16.1,16.45,3062873
2023-01-11,16.56,17.16,16.45,16.98,5342324
2023-01-12,16.98,17.3,16.98,17.19,2883106
2023-01-13,17.26,17.4,16.94,16.94,2156614
2023-01-16,16.94,17.54,16.94,17.54,3541375
2023-01-17,17.58,17.86,17.51,17.75,3988618
2023-01-18,17.75,18.03,17.61,17.89,5439101
2023-01-19,17.89,18.24,17.86,18.24,5525817
2023-01-27,18.49,18.59,18.17,18.49,3758988
2023-01-30,18.45,18.49,17.82,17.82,5403319
2023-01-31,17.82,18.28,17.54,18.28,3485014
2023-02-01,18.31,18.42,17.61,17.68,3485902
2023-02-02,17.65,17.96,17.4,17.54,2886290
2023-02-03,17.54,17.72,17.12,17.19,9534382
2023-02-06,17.12,17.65,16.94,17.47,2397652
2023-02-07,17.54,17.61,17.12,17.26,2471469
2023-02-08,17.4,17.58,17.23,17.3,1924125
2023-02-09,17.3,17.61,17.19,17.19,3227424
2023-02-10,17.26,17.37,16.98,16.98,2009129
2023-02-13,16.94,16.94,16.7,16.77,2593039
2023-02-14,16.91,16.91,16.7,16.73,1439656
2023-02-15,16.77,17.3,16.66,17.23,3332041
2023-02-16,17.4,17.4,17.12,17.4,1625191
2023-02-17,17.44,17.51,17.23,17.4,1717468
2023-02-20,17.33,18.1,17.3,18.1,4907140
2023-02-21,18.1,18.24,17.89,17.89,1720729
2023-02-22,17.68,17.93,17.44,17.44,2654851
2023-02-23,17.37,17.89,17.02,17.82,3862411
2023-02-24,17.54,17.75,17.23,17.26,2228733
2023-02-27,17.19,17.26,16.91,17.02,3109431
2023-02-28,17.19,17.37,17.02,17.12,6149990
