,time,open,high,low,close,volume
0,9/11/2023 9:15,98.7,99.5,98.4,98.5,356300
1,9/11/2023 9:20,98.5,98.5,98.2,98.3,74200
2,9/11/2023 9:25,98.2,98.2,97.7,97.9,117400
3,9/11/2023 9:30,98,98.1,97.8,97.8,94700
4,9/11/2023 9:35,98,98,97.9,97.9,30200
5,9/11/2023 9:40,97.9,97.9,97.8,97.9,17000
6,9/11/2023 9:45,97.8,97.9,97.8,97.9,28300
7,9/11/2023 9:50,97.9,97.9,97.8,97.8,17100
8,9/11/2023 9:55,97.8,97.8,97.2,97.2,141300
9,9/11/2023 10:00,97.2,97.4,97.2,97.4,24300
10,9/11/2023 10:05,97.4,97.4,96.9,96.9,138200
11,9/11/2023 10:10,96.9,97.2,96.8,97.2,49700
12,9/11/2023 10:15,97.2,97.2,97.1,97.1,30600
13,9/11/2023 10:20,97.1,97.1,97,97,46800
14,9/11/2023 10:25,97,97.2,97,97.1,26300
15,9/11/2023 10:30,97.2,97.3,97.1,97.3,18500
16,9/11/2023 10:35,97.3,97.3,97.1,97.1,37100
17,9/11/2023 10:40,97.2,97.2,97.1,97.2,31200
18,9/11/2023 10:45,97.2,97.2,96.9,96.9,185100
19,9/11/2023 10:50,96.9,97,96.5,96.7,164500
20,9/11/2023 10:55,96.7,96.7,96.2,96.2,139300
21,9/11/2023 11:00,96,96.3,96,96.1,108000
22,9/11/2023 11:05,96.2,96.3,95.9,96,109600
23,9/11/2023 11:10,96,96,95.5,95.5,199100
24,9/11/2023 11:15,95.5,96.1,95.3,96,138400
25,9/11/2023 11:20,96,96.1,95.9,96,41700
26,9/11/2023 11:25,96,96.1,96,96.1,23800
45,9/11/2023 13:00,96.1,96.3,96,96.1,86600
46,9/11/2023 13:05,96.2,96.2,95.4,95.9,174800
47,9/11/2023 13:10,95.9,95.9,95.7,95.7,23000
48,9/11/2023 13:15,95.8,95.8,95.6,95.7,30200
49,9/11/2023 13:20,95.7,95.8,95.6,95.6,65400
50,9/11/2023 13:25,95.6,95.8,95.6,95.8,48900
51,9/11/2023 13:30,95.8,96.1,95.7,96,97400
52,9/11/2023 13:35,96,96.3,96,96.3,74400
53,9/11/2023 13:40,96.3,96.3,95.7,96.3,132000
54,9/11/2023 13:45,96.3,96.4,96,96.4,27900
55,9/11/2023 13:50,96.4,96.6,96.3,96.5,51700
56,9/11/2023 13:55,96.5,96.5,96,96.1,74600
57,9/11/2023 14:00,96,96.1,95.8,95.8,53600
58,9/11/2023 14:05,95.8,95.8,95.4,95.6,184200
59,9/11/2023 14:10,95.6,96.6,95.4,96.5,328300
60,9/11/2023 14:15,96.5,97,96.5,96.9,356000
61,9/11/2023 14:20,96.9,96.9,96.2,96.5,330100
62,9/11/2023 14:25,96.7,96.8,96.1,96.5,392500
66,9/11/2023 14:45,97.5,97.5,97.5,97.5,229500
288,9/12/2023 9:15,97.4,98.5,97.4,98.3,184000
289,9/12/2023 9:20,98.2,98.4,97.6,97.6,80500
290,9/12/2023 9:25,97.7,97.7,97.4,97.6,79200
291,9/12/2023 9:30,97.6,98.2,97.6,98.2,76200
292,9/12/2023 9:35,98.2,98.7,98.2,98.3,232400
293,9/12/2023 9:40,98.3,98.5,98.3,98.5,48300
294,9/12/2023 9:45,98.5,98.5,98.3,98.3,35800
295,9/12/2023 9:50,98.3,98.4,98.3,98.3,38500
296,9/12/2023 9:55,98.3,98.3,98.1,98.2,59100
297,9/12/2023 10:00,98,98,97.9,98,14100
298,9/12/2023 10:05,98,98.5,98,98.5,74900
299,9/12/2023 10:10,98.2,98.4,98.1,98.2,25600
300,9/12/2023 10:15,98.2,98.3,98.1,98.1,18000
301,9/12/2023 10:20,98.1,98.1,97.9,97.9,37000
302,9/12/2023 10:25,97.8,98,97.8,98,8800
303,9/12/2023 10:30,97.9,98,97.9,97.9,28800
304,9/12/2023 10:35,97.9,98.3,97.9,98.1,39800
305,9/12/2023 10:40,98.2,98.3,98.1,98.1,16400
306,9/12/2023 10:45,98.1,98.1,98,98,42200
307,9/12/2023 10:50,97.9,97.9,97.9,97.9,19000
308,9/12/2023 10:55,98,98,97.9,97.9,19200
309,9/12/2023 11:00,97.9,98,97.8,97.8,36300
310,9/12/2023 11:05,97.8,97.8,97.5,97.8,44400
311,9/12/2023 11:10,97.7,97.8,97.7,97.7,11000
312,9/12/2023 11:15,97.7,97.8,97.6,97.6,23900
313,9/12/2023 11:20,97.6,97.6,97.5,97.6,11200
314,9/12/2023 11:25,97.6,97.6,97.5,97.5,5000
333,9/12/2023 13:00,97.6,97.7,97.5,97.7,38600
334,9/12/2023 13:05,97.7,97.9,97.7,97.9,49300
335,9/12/2023 13:10,97.8,98,97.8,98,27700
336,9/12/2023 13:15,98,98,97.9,97.9,27500
337,9/12/2023 13:20,97.9,97.9,97.7,97.7,45500
338,9/12/2023 13:25,97.7,97.7,97.6,97.6,25600
339,9/12/2023 13:30,97.7,97.7,97.6,97.7,19100
340,9/12/2023 13:35,97.7,97.8,97.6,97.7,22800
341,9/12/2023 13:40,97.7,97.8,97.7,97.7,22400
342,9/12/2023 13:45,97.7,97.8,97.7,97.7,43600
343,9/12/2023 13:50,97.7,97.9,97.7,97.9,41000
344,9/12/2023 13:55,97.9,98,97.9,98,68500
345,9/12/2023 14:00,98,98.4,97.8,98.3,216800
346,9/12/2023 14:05,98.3,98.5,97.9,97.9,48500
347,9/12/2023 14:10,98,98.2,97.9,98.2,72800
348,9/12/2023 14:15,98,98.7,98,98.6,199700
349,9/12/2023 14:20,98.7,98.8,98.6,98.7,111000
350,9/12/2023 14:25,98.6,98.7,98.3,98.6,64500
354,9/12/2023 14:45,98.9,98.9,98.9,98.9,226200
576,9/13/2023 9:15,98.9,99,98.8,98.8,76700
577,9/13/2023 9:20,98.8,98.9,98.7,98.8,34000
578,9/13/2023 9:25,98.8,98.8,98.5,98.5,36100
579,9/13/2023 9:30,98.5,98.5,98.4,98.4,33100
580,9/13/2023 9:35,98.5,98.6,98.4,98.6,27800
581,9/13/2023 9:40,98.6,98.6,98.2,98.5,85200
582,9/13/2023 9:45,98.4,98.5,98.2,98.5,27600
583,9/13/2023 9:50,98.5,98.6,98.1,98.6,77600
584,9/13/2023 9:55,98.2,98.7,98.1,98.3,66200
585,9/13/2023 10:00,98.3,98.6,98.3,98.3,37300
586,9/13/2023 10:05,98.3,98.5,98.3,98.5,3900
587,9/13/2023 10:10,98.4,98.5,98.2,98.3,35000
588,9/13/2023 10:15,98.3,98.3,98.1,98.3,52500
589,9/13/2023 10:20,98.2,98.2,98,98,89900
590,9/13/2023 10:25,98.1,98.2,98,98.2,31700
591,9/13/2023 10:30,98.2,98.2,98,98,96400
592,9/13/2023 10:35,98,98.1,97.9,97.9,97600
593,9/13/2023 10:40,97.9,97.9,97.8,97.9,63100
594,9/13/2023 10:45,97.9,98.1,97.9,98.1,39800
595,9/13/2023 10:50,98.1,98.1,98,98.1,28600
596,9/13/2023 10:55,98.1,98.2,98.1,98.2,21200
597,9/13/2023 11:00,98.2,98.4,98.1,98.4,64700
598,9/13/2023 11:05,98.4,98.4,98.2,98.2,50400
599,9/13/2023 11:10,98.2,98.4,98.2,98.4,38500
600,9/13/2023 11:15,98.4,98.5,98,98,69900
601,9/13/2023 11:20,98,98.3,98,98,38400
602,9/13/2023 11:25,98,98.2,98,98.1,22400
621,9/13/2023 13:00,98.1,98.3,97.9,98,76400
622,9/13/2023 13:05,98,98.2,98,98.2,29700
623,9/13/2023 13:10,98.2,98.5,98.2,98.3,118900
624,9/13/2023 13:15,98.3,98.4,98.2,98.2,40300
625,9/13/2023 13:20,98.2,98.3,98,98.1,74400
626,9/13/2023 13:25,98.2,98.3,98.1,98.2,42100
627,9/13/2023 13:30,98.3,98.3,98.2,98.2,45500
628,9/13/2023 13:35,98.2,98.3,98.1,98.2,21900
629,9/13/2023 13:40,98.2,98.3,98.2,98.3,26000
630,9/13/2023 13:45,98.3,98.4,98.2,98.3,51700
631,9/13/2023 13:50,98.3,98.6,98.2,98.3,77000
632,9/13/2023 13:55,98.3,98.4,98.1,98.1,77400
633,9/13/2023 14:00,98.1,98.1,97.8,97.8,121100
634,9/13/2023 14:05,97.8,97.9,97.7,97.9,89200
635,9/13/2023 14:10,97.9,98.1,97.7,97.9,91300
636,9/13/2023 14:15,98,98.1,97.5,97.6,227800
637,9/13/2023 14:20,97.6,97.7,97.4,97.7,76700
638,9/13/2023 14:25,97.7,98.2,97.5,98.1,37800
639,9/13/2023 14:30,98.1,98.1,98.1,98.1,100
642,9/13/2023 14:45,98,98,98,98,218400
864,9/14/2023 9:15,98,98,97.1,97.9,99500
865,9/14/2023 9:20,97.9,98,97.6,98,13900
866,9/14/2023 9:25,98,98,97.8,97.8,22800
867,9/14/2023 9:30,97.6,97.6,97.5,97.5,25600
868,9/14/2023 9:35,97.6,97.6,97.4,97.4,18800
869,9/14/2023 9:40,97.4,97.5,97.4,97.5,49400
870,9/14/2023 9:45,97.6,97.8,97.6,97.7,21400
871,9/14/2023 9:50,97.7,97.7,97.6,97.7,11500
872,9/14/2023 9:55,97.7,97.8,97.6,97.6,35900
873,9/14/2023 10:00,97.6,97.8,97.6,97.7,12900
874,9/14/2023 10:05,97.7,97.8,97.6,97.7,9100
875,9/14/2023 10:10,97.7,97.7,97.6,97.6,11300
876,9/14/2023 10:15,97.6,97.7,97.3,97.3,47400
877,9/14/2023 10:20,97.3,97.6,97.3,97.5,11200
878,9/14/2023 10:25,97.5,97.5,97.3,97.4,28500
879,9/14/2023 10:30,97.4,97.5,97.2,97.2,29700
880,9/14/2023 10:35,97.2,97.2,96.8,97,119700
881,9/14/2023 10:40,97,97.3,97,97.3,9000
882,9/14/2023 10:45,97.3,97.4,97.1,97.4,21000
883,9/14/2023 10:50,97.4,97.5,97.4,97.5,1600
884,9/14/2023 10:55,97.5,97.7,97.5,97.5,19100
885,9/14/2023 11:00,97.6,97.6,97.4,97.4,14800
886,9/14/2023 11:05,97.4,97.5,97.3,97.4,7800
887,9/14/2023 11:10,97.4,97.4,97.3,97.3,28600
888,9/14/2023 11:15,97.3,97.3,97.2,97.3,6400
889,9/14/2023 11:20,97.3,97.3,97.1,97.1,44900
890,9/14/2023 11:25,97.1,97.2,96.8,96.8,81600
891,9/14/2023 11:30,96.8,96.8,96.8,96.8,500
909,9/14/2023 13:00,96.8,96.8,96,96.2,166200
910,9/14/2023 13:05,96.2,96.7,96.2,96.7,47600
911,9/14/2023 13:10,96.7,96.9,96.6,96.7,30400
912,9/14/2023 13:15,96.7,96.8,96.4,96.5,45900
913,9/14/2023 13:20,96.5,96.5,96.3,96.4,30300
914,9/14/2023 13:25,96.4,96.4,95.9,96.1,176600
915,9/14/2023 13:30,96.1,96.4,96,96.4,58000
916,9/14/2023 13:35,96.4,96.9,96.4,96.6,57700
917,9/14/2023 13:40,96.6,96.6,96,96.1,93400
918,9/14/2023 13:45,96,96.4,96,96.4,61800
919,9/14/2023 13:50,96.2,96.5,96.1,96.5,27900
920,9/14/2023 13:55,96.6,96.7,96.5,96.5,39600
921,9/14/2023 14:00,96.5,96.8,96.5,96.6,53400
922,9/14/2023 14:05,96.6,96.7,96.6,96.6,18700
923,9/14/2023 14:10,96.7,96.7,96.1,96.1,110500
924,9/14/2023 14:15,96.1,96.7,96,96.3,97500
925,9/14/2023 14:20,96.4,96.5,95.6,95.7,169000
926,9/14/2023 14:25,95.7,96.2,95.5,95.9,71400
930,9/14/2023 14:45,95.9,95.9,95.9,95.9,159900
