date,open,high,low,close,volume
2018-06-04,17.96126,18.79451,17.89953,18.79451,6752680.0
2018-06-05,18.76365,19.01054,18.39331,18.79451,5432150.0
2018-06-06,18.57848,18.97968,18.45504,18.85623,7349580.0
2018-06-07,19.01054,19.38087,18.88709,19.07226,9375250.0
2018-06-08,18.76365,19.13398,18.51676,18.97968,4837090.0
2018-06-11,18.76365,19.22657,18.67107,18.70193,5690700.0
2018-06-12,18.51676,18.57848,17.68351,18.17729,11024280.0
2018-06-13,18.14642,18.33159,17.77609,18.20815,4113320.0
2018-06-14,18.20815,18.26987,17.652639999999998,17.652639999999998,3076350.0
2018-06-15,17.46748,18.20815,17.46748,18.14642,3783790.0
2018-06-18,18.17729,18.30073,17.22059,17.282310000000003,5709530.0
2018-06-19,16.9737,17.06628,16.10958,16.9737,8201500.0
2018-06-20,17.15886,17.436619999999998,16.88111,17.22059,4821720.0
2018-06-21,17.22059,17.22059,16.665080000000003,16.72681,2531790.0
2018-06-22,16.603360000000002,17.22059,16.41819,17.22059,3260850.0
2018-06-25,17.40575,17.652639999999998,17.31317,17.40575,3920670.0
2018-06-27,17.282310000000003,17.34403,16.85025,16.85025,2268810.0
2018-06-28,16.603360000000002,16.85025,16.23303,16.356469999999998,5509580.0
2018-06-29,16.356469999999998,16.603360000000002,16.10958,16.1713,3536370.0
2018-07-02,15.80097,16.14044,15.24547,15.33805,5980920.0
2018-07-03,15.36891,15.523219999999998,14.44307,14.47393,6589280.0
2018-07-04,14.81341,14.84427,14.41221,14.75168,3296640.0
2018-07-05,14.75168,14.87513,13.91843,13.91843,4551160.0
2018-07-06,11.85073,12.49881,11.69642,12.49881,5396790.0
2018-07-09,12.83829,13.05432,12.43709,12.5914,4211630.0
2018-07-10,12.80743,12.93087,12.5914,12.71484,3230360.0
2018-07-11,12.22106,12.40623,11.88159,11.97417,5391670.0
2018-07-12,12.03589,12.71484,11.94331,12.46795,3513360.0
2018-07-13,12.77656,13.02345,12.65312,12.83829,5879910.0
2018-07-16,13.17776,13.36293,12.99259,13.208620000000002,6714400.0
2018-07-17,12.99259,13.88757,12.96173,13.79499,6053540.0
2018-07-18,13.85671,14.31963,13.82585,14.2579,6039310.0
2018-07-19,14.19618,14.2579,13.88757,13.94929,7108670.0
2018-07-20,13.82585,14.504790000000002,13.57896,14.38135,8819980.0
2018-07-25,14.07274,14.16532,13.57896,13.57896,5504560.0
2018-07-26,13.57896,13.88757,13.36293,13.88757,4373190.0
2018-07-27,13.98015,14.35049,13.85671,14.19618,7217640.0
2018-07-30,14.38135,14.504790000000002,14.28877,14.504790000000002,4117610.0
2018-07-31,14.31963,14.75168,14.19618,14.47393,6223030.0
2018-08-01,14.38135,14.56652,14.13446,14.2579,4816740.0
2018-08-02,14.22704,14.22704,13.82585,14.16532,5106090.0
2018-08-03,14.31963,14.47393,14.16532,14.2579,4463490.0
2018-08-06,14.13446,14.38135,14.04188,14.1036,3458140.0
2018-08-07,14.07274,14.35049,13.94929,14.07274,4094050.0
2018-08-08,14.19618,14.504790000000002,14.1036,14.38135,5287700.0
2018-08-09,14.59738,14.68996,14.28877,14.28877,6673750.0
2018-08-10,14.2579,14.35049,14.13446,14.35049,4502690.0
2018-08-13,14.28877,15.02944,14.22704,15.02944,12961940.0
2018-08-14,15.02944,15.12202,14.72082,14.72082,6323050.0
2018-08-15,14.75168,14.93685,14.38135,14.38135,10837570.0
2018-08-16,14.19618,14.62824,14.07274,14.62824,7552020.0
2018-08-17,14.75168,14.78255,14.44307,14.44307,4898520.0
2018-08-20,14.44307,14.53566,14.13446,14.13446,5175120.0
2018-08-21,14.1036,14.47393,14.1036,14.47393,5127320.0
2018-08-22,14.62824,14.62824,14.38135,14.44307,5422380.0
2018-08-23,14.44307,14.53566,14.38135,14.47393,3718100.0
