date,open,high,low,close,volume
2018-06-04,54.70177,55.577,53.91407,54.96434,386910.0
2018-06-05,54.96434,58.20269,54.96434,57.41498,765440.0
2018-06-06,57.76507,59.07792,56.7148,58.81535,547500.0
2018-06-07,58.6403,58.99039,57.76507,58.55278,637220.0
2018-06-08,58.46526,59.95314,57.59003,59.69058,781580.0
2018-06-11,58.20269,59.86562,57.94012,58.02764,584970.0
2018-06-12,56.88984,57.76507,54.4392,56.7148,927160.0
2018-06-13,56.80232,58.6403,56.45223,58.6403,496570.0
2018-06-14,58.6403,59.7781,58.37773,58.37773,594110.0
2018-06-15,58.11516,58.90287,57.5025,58.90287,476310.0
2018-06-18,58.46526,58.81535,56.45223,56.45223,517670.0
2018-06-19,55.577,56.01462,52.5137,54.70177,1282720.0
2018-06-20,55.05186,55.92709,53.82654,55.92709,305680.0
2018-06-21,55.83957,55.83957,54.70177,54.7893,259740.0
2018-06-22,54.70177,55.48948,54.17664,55.48948,308340.0
2018-06-25,54.96434,54.96434,53.82654,53.91407,383240.0
2018-06-27,53.38893,54.26416,52.33866,52.33866,331450.0
2018-06-28,52.07608999999999,52.33866,50.76325,51.63847,410520.0
2018-06-29,51.63847,52.42618,51.20086,51.20086,149200.0
2018-07-02,51.11334,51.375910000000005,48.92527,51.20086,488920.0
2018-07-03,51.20086,51.20086,48.13756,48.22508,446650.0
2018-07-04,49.187830000000005,49.4504,47.43738,48.6627,319770.0
2018-07-05,49.01279,49.01279,46.21206,46.21206,498150.0
2018-07-06,46.3871,49.10031,45.33683,47.61242,683880.0
2018-07-09,48.57517,49.80049,48.13756,48.13756,358880.0
2018-07-10,48.13756,49.4504,48.13756,48.13756,301320.0
2018-07-11,45.94949,47.26233,45.5994,47.26233,406410.0
2018-07-12,46.21206,47.87499,46.21206,46.82472,139300.0
2018-07-13,47.26233,47.96251,47.08729,47.26233,266960.0
2018-07-16,47.26233,48.13756,46.82472,47.61242,227950.0
2018-07-17,47.17481,48.05004,46.3871,47.26233,308540.0
2018-07-18,47.96251,49.88802,47.78747,49.88802,771000.0
2018-07-19,50.32563,50.93829,49.71297,50.41315,408530.0
2018-07-20,49.53793,50.23811,49.10031,49.10031,480790.0
2018-07-25,50.23811,50.76325,49.80049,49.80049,436720.0
2018-07-26,49.71297,49.71297,48.75022,49.01279,407460.0
2018-07-27,49.01279,50.15059,49.01279,49.62545,287950.0
2018-07-30,50.23811,50.76325,49.97554,50.76325,668090.0
2018-07-31,50.76325,54.17664,50.50068,52.95132,1559950.0
2018-08-01,53.38893,54.7893,53.03883999999999,53.6515,747160.0
2018-08-02,53.82654,54.08911,53.12636,54.00158999999999,951560.0
2018-08-03,54.26416,56.01462,54.26416,54.7893,1312750.0
2018-08-06,54.7893,56.36471,54.08911,55.92709,701070.0
2018-08-07,55.92709,56.01462,54.61425,54.7893,763020.0
2018-08-08,55.31443,55.83957,54.7893,55.13939,560540.0
2018-08-09,55.92709,56.27718,54.26416,55.05186,848730.0
2018-08-10,55.05186,55.92709,54.35168,55.92709,665110.0
2018-08-13,55.92709,58.20269,55.13939,58.20269,1369790.0
2018-08-14,57.8526,57.94012,56.97737,57.41498,628640.0
2018-08-15,57.41498,57.5025,54.87682,54.96434,733050.0
2018-08-16,53.91407,56.88984,53.38893,56.53975,1441710.0
2018-08-17,56.80232,57.06489,56.01462,56.18966,530720.0
2018-08-20,56.01462,58.20269,56.01462,57.32746,1133600.0
2018-08-21,57.06489,58.11516,56.7148,57.59003,753180.0
2018-08-22,58.20269,58.6403,57.32746,57.41498,681810.0
2018-08-23,57.8526,58.29021,57.23994,57.67755,535200.0
2018-08-24,57.32746,59.7781,57.32746,59.51553,2117990.0
2018-08-27,59.51553,60.65333,59.51553,60.21571,893630.0
2018-08-28,60.21571,60.74085,59.60305,60.39076,859970.0
2018-08-29,60.39076,60.39076,58.6403,58.90287,1403870.0
2018-08-30,59.07792,60.21571,58.37773,60.21571,971010.0
2018-08-31,60.39076,61.00342,59.34048000000001,59.34048000000001,465030.0
2018-09-04,59.34048000000001,60.21571,58.81535,58.99039,735330.0
2018-09-05,58.72782,59.42801,58.02764,58.6403,1307880.0
2018-09-06,58.46526,59.16544,58.29021,58.72782,924700.0
2018-09-07,58.55278,59.42801,58.46526,59.34048000000001,592540.0
2018-09-10,59.34048000000001,61.52855,59.34048000000001,60.82837,1877740.0
2018-09-11,60.82837,61.52855,60.5658,61.26599,734210.0
2018-09-12,62.14121,62.92892,61.52855,62.14121,1294740.0
2018-09-13,61.96617,62.92892,60.82837,61.09094,1349440.0
2018-09-14,60.74085,61.87865,60.303230000000006,61.79112,1147060.0
2018-09-17,61.26599,62.92892,60.91589,62.31626,871820.0
2018-09-18,61.7036,62.57883,61.35351,62.49131,613920.0
2018-09-19,63.01644,63.27901,61.87865,61.87865,887800.0
2018-09-20,62.22874,62.49131,61.79112,62.40378,701700.0
2018-09-21,62.66635,62.75387,61.7036,61.96617,1786260.0
2018-09-24,62.40378,63.97919,62.14121,63.89167,1223920.0
2018-09-25,64.15424,64.67938,63.80415,63.97919,842810.0
2018-09-26,63.97919,63.97919,63.01644,63.01644,1070320.0
2018-09-27,63.01644,63.45406,62.57883,63.10397,786580.0
2018-09-28,63.01644,63.6291,62.14121,62.14121,798310.0
2018-10-01,62.14121,63.54158,62.05369,62.66635,905790.0
2018-10-02,63.10397,63.36653,61.7036,62.14121,640350.0
2018-10-03,62.14121,62.22874,61.7036,61.87865,461970.0
2018-10-04,62.75387,62.75387,61.87865,62.57883,501260.0
2018-10-05,62.14121,62.49131,60.39076,60.39076,761890.0
2018-10-08,60.21571,60.39076,58.20269,58.46526,1448090.0
2018-10-09,59.07792,59.25296,58.6403,58.72782,547390.0
2018-10-10,59.25296,59.25296,58.46526,58.6403,431240.0
2018-10-11,54.70177,56.88984,54.61425,55.05186,1631410.0
2018-10-12,54.26416,56.36471,54.26416,56.18966,808250.0
2018-10-15,56.36471,56.36471,54.26416,54.87682,556180.0
2018-10-16,54.87682,55.83957,54.70177,55.48948,392600.0
2018-10-17,56.45223,56.80232,55.22691,55.48948,832180.0
2018-10-18,55.48948,55.577,54.35168,55.13939,208850.0
2018-10-19,54.35168,54.61425,53.21389,54.26416,480870.0
2018-10-22,54.26416,54.96434,52.86379,52.86379,458870.0
2018-10-23,52.95132,52.95132,49.80049,50.76325,753750.0
2018-10-24,50.23811,51.20086,48.83774,48.83774,669070.0
