date,open,high,low,close,volume
2018-06-04,14.76051,15.40028,14.44062,15.26319,5630880.0
2018-06-05,15.17179,15.33174,14.92045,15.30889,6196020.0
2018-06-06,15.12609,15.53738,14.989,15.49168,4421630.0
2018-06-07,15.53738,15.56023,15.21749,15.24034,5372030.0
2018-06-08,15.17179,15.53738,15.0804,15.53738,4475060.0
2018-06-11,15.286040000000002,15.94866,15.26319,15.56023,4555630.0
2018-06-12,15.40028,15.58308,14.85191,15.35459,7677610.0
2018-06-13,15.40028,15.53738,15.26319,15.51453,3136880.0
2018-06-14,15.51453,15.67447,14.8976,14.8976,4628600.0
2018-06-15,14.85191,15.30889,14.66911,15.30889,3949840.0
2018-06-18,15.0804,15.30889,14.25783,14.28068,6435560.0
2018-06-19,13.75515,14.16643,13.29817,14.16643,9326040.0
2018-06-20,14.18928,14.57772,13.89224,14.39492,3487980.0
2018-06-21,14.18928,14.30353,13.93794,14.12073,3112150.0
2018-06-22,13.84655,14.48632,13.75515,14.44062,3531350.0
2018-06-25,14.71481,14.71481,14.44062,14.46347,2553490.0
2018-06-27,14.34923,14.48632,13.57236,13.57236,3300080.0
2018-06-28,13.38956,13.61806,13.02398,13.02398,5743020.0
2018-06-29,13.06968,13.34387,12.88688,13.02398,2276350.0
2018-07-02,12.79549,12.97828,12.15571,12.567,7545540.0
2018-07-03,12.65839,12.72694,11.79013,11.79013,6402640.0
2018-07-04,11.88152,12.4756,11.51594,12.45275,4230790.0
2018-07-05,12.33851,12.49845,11.69873,12.26996,3160930.0
2018-07-06,12.26996,13.11538,12.01862,13.06968,7565200.0
2018-07-09,13.09253,13.25247,12.6127,12.70409,3251740.0
2018-07-10,12.70409,12.95543,12.6127,12.63554,2492760.0
2018-07-11,12.13286,12.26996,11.79013,11.88152,5866130.0
2018-07-12,11.88152,12.36136,11.79013,11.92722,2497850.0
2018-07-13,12.24711,12.567,11.97292,12.54415,3549250.0
2018-07-16,12.567,12.72694,12.36136,12.4756,2512090.0
2018-07-17,12.33851,12.74979,12.22426,12.70409,3557820.0
2018-07-18,12.88688,13.36672,12.81834,13.34387,5804510.0
2018-07-19,13.25247,13.43526,13.11538,13.20677,3803880.0
