date,open,high,low,close,volume
2018-06-04,34.12992,34.9965,34.12992,34.12992,2811840.0
2018-06-05,33.03003,35.329800000000006,31.9968,31.9968,1357500.0
2018-06-06,31.6635,31.9968,30.3303,30.6636,1605480.0
2018-06-07,31.49685,32.79672,31.03023,32.79672,1376540.0
2018-06-08,33.6633,35.06316,33.16335,35.06316,2008500.0
2018-06-11,34.92984,36.3297,34.39656,36.3297,1229830.0
2018-06-12,35.9964,35.9964,34.29657,34.9965,1139130.0
2018-06-13,34.9965,35.9964,34.82985,35.12982,772670.0
2018-06-14,35.49645,35.49645,34.496550000000006,34.9965,617130.0
2018-06-15,35.16315,35.16315,34.496550000000006,35.06316,723460.0
2018-06-18,34.69653,34.9965,32.6634,33.33,825810.0
2018-06-19,31.69683,32.3301,30.9969,31.6635,2092720.0
2018-06-20,31.6635,32.16345,31.03023,31.73016,554870.0
2018-06-21,31.79682,31.79682,31.09689,31.73016,497790.0
2018-06-22,31.69683,31.69683,31.19688,31.6635,328710.0
2018-06-25,31.9968,32.3301,31.89681,31.96347,918340.0
2018-06-27,31.16355,31.6635,31.16355,31.19688,394860.0
2018-06-28,30.9969,31.16355,29.49705,30.73026,1319230.0
2018-06-29,30.3303,30.6636,28.9971,30.56361,1583700.0
2018-07-02,30.59694,30.59694,28.9971,29.29707,669570.0
2018-07-03,29.16375,29.43039,27.26394,27.26394,2112230.0
2018-07-04,26.83065,26.9973,25.36413,26.9973,1102650.0
2018-07-05,28.85,28.85,27.0,28.15,1583450.0
2018-07-06,28.0,29.0,27.0,28.8,1160990.0
2018-07-09,29.0,29.2,27.85,28.5,631240.0
2018-07-10,28.5,28.5,27.5,27.65,549100.0
2018-07-11,27.1,27.1,25.75,25.75,1134570.0
2018-07-12,25.1,26.0,25.1,26.0,686180.0
2018-07-13,26.4,26.5,26.0,26.2,406500.0
2018-07-16,26.0,26.2,25.75,26.2,430160.0
2018-07-17,26.2,27.5,25.7,27.1,1174520.0
2018-07-18,27.5,28.5,27.3,27.95,1139340.0
2018-07-19,28.0,28.0,27.5,27.9,680430.0
2018-07-20,27.5,27.9,27.2,27.9,1473990.0
2018-07-25,26.8,26.85,24.9,26.75,3348190.0
2018-07-26,26.0,26.25,25.5,25.8,645430.0
2018-07-27,25.8,26.2,25.6,25.95,1427670.0
2018-07-30,25.95,26.2,25.9,26.1,1438740.0
2018-07-31,26.15,27.9,26.0,27.8,4690660.0
2018-08-01,27.9,28.65,27.15,27.55,2060620.0
2018-08-02,27.3,28.5,27.0,28.5,3507500.0
