date,open,high,low,close,volume
2018-06-04,11.98442,12.70946,11.92045,12.58151,387700.0
2018-06-05,12.62416,12.62416,12.32562,12.53886,459200.0
2018-06-06,12.45356,12.49621,12.28297,12.32562,847910.0
2018-06-07,12.36826,12.36826,12.24032,12.32562,675570.0
2018-06-08,12.32562,12.36826,12.15502,12.21899,1162520.0
2018-06-11,12.32562,12.32562,12.02707,12.15502,38710.0
2018-06-12,12.15502,12.15502,11.85647,12.02707,42180.0
2018-06-13,12.02707,12.06972,11.94177,12.02707,111190.0
2018-06-14,12.02707,12.02707,11.83515,11.94177,22990.0
2018-06-15,12.00575,12.00575,11.83515,11.85647,26260.0
2018-06-18,11.85647,11.85647,11.51528,11.51528,44490.0
2018-06-19,11.34468,11.68588,10.72627,11.55793,648860.0
2018-06-20,11.55793,11.72853,11.55793,11.68588,648730.0
2018-06-21,11.77118,11.89912,11.51528,11.68588,43660.0
2018-06-22,11.64323,11.72853,11.64323,11.72853,115320.0
2018-06-25,11.74985,11.94177,11.72853,11.85647,204990.0
2018-06-27,11.81382,11.85647,11.51528,11.7925,42360.0
2018-06-28,11.7925,11.7925,11.51528,11.51528,44370.0
2018-06-29,11.72853,11.72853,11.47263,11.72853,234590.0
2018-07-02,11.72853,11.77118,11.49396,11.51528,73960.0
2018-07-03,11.51528,11.53661,11.06746,11.13144,182230.0
2018-07-04,11.13144,11.17409,10.577,10.85422,283830.0
2018-07-05,11.04614,11.23806,10.79024,10.79024,779170.0
2018-07-06,10.79024,11.38733,10.79024,11.38733,344120.0
2018-07-09,11.51528,11.51528,10.59832,11.51528,226510.0
2018-07-10,11.51528,11.60058,11.47263,11.60058,278740.0
2018-07-11,11.60058,11.60058,11.34468,11.42998,82430.0
2018-07-12,11.38733,11.42998,11.32336,11.40866,138910.0
2018-07-13,11.57925,11.6219,11.47263,11.55793,303750.0
2018-07-16,11.51528,11.51528,11.30203,11.51528,216440.0
2018-07-17,11.51528,11.53661,11.42998,11.42998,157780.0
2018-07-18,11.45131,11.55793,11.36601,11.51528,247780.0
2018-07-19,11.49396,11.51528,11.38733,11.47263,55150.0
2018-07-20,11.51528,11.51528,11.42998,11.47263,25590.0
2018-07-25,11.34468,11.45131,10.6623,11.25939,98910.0
2018-07-26,11.25939,11.42998,11.23806,11.30203,73720.0
2018-07-27,11.30203,11.42998,11.23806,11.34468,104230.0
2018-07-30,11.04614,11.34468,10.70495,10.91819,217670.0
2018-07-31,10.68362,10.91819,10.68362,10.87554,131670.0
2018-08-01,10.81157,10.896870000000002,10.6623,10.6623,134560.0
2018-08-02,10.64097,10.6623,10.2358,10.53435,188020.0
2018-08-03,10.2358,10.6623,10.2358,10.51302,200320.0
2018-08-06,10.51302,10.6623,10.15051,10.19316,301330.0
2018-08-07,10.21448,10.27845,10.21448,10.25713,95960.0
2018-08-08,10.25713,10.47038,10.25713,10.4064,225180.0
2018-08-09,10.44905,10.96084,10.44905,10.83289,461210.0
2018-08-10,10.85422,10.96084,10.70495,10.896870000000002,332110.0
2018-08-13,10.91819,11.11011,10.81157,11.08879,336850.0
2018-08-14,11.21674,11.25939,11.08879,11.08879,312680.0
2018-08-15,11.08879,11.19541,10.96084,10.98217,289650.0
2018-08-16,10.91819,11.13144,10.91819,11.11011,235000.0
2018-08-17,11.21674,11.51528,11.11011,11.19541,262420.0
2018-08-20,11.08879,11.21674,11.08879,11.08879,285190.0
2018-08-21,11.08879,11.19541,11.08879,11.19541,312010.0
2018-08-22,11.19541,11.36601,11.13144,11.23806,435620.0
2018-08-23,11.17409,11.38733,11.17409,11.30203,375720.0
2018-08-24,11.32336,11.32336,11.25939,11.32336,318750.0
2018-08-27,11.34468,11.38733,11.34468,11.38733,262880.0
2018-08-28,11.34468,11.49396,11.34468,11.47263,367780.0
2018-08-29,11.47263,11.55793,11.42998,11.53661,353290.0
2018-08-30,11.51528,11.55793,11.42998,11.53661,386140.0
2018-08-31,11.53661,11.6219,11.47263,11.47263,344740.0
2018-09-04,11.45131,11.49396,11.40866,11.42998,274950.0
2018-09-05,11.40866,11.45131,11.30203,11.30203,287370.0
2018-09-06,11.25939,11.42998,10.51302,10.51302,314500.0
2018-09-07,10.98217,11.23806,10.96084,11.23806,334230.0
2018-09-10,11.28071,11.32336,11.19541,11.23806,295040.0
2018-09-11,11.23806,11.25939,11.13144,11.13144,306000.0
2018-09-12,11.13144,11.23806,11.08879,11.13144,311310.0
2018-09-13,11.15276,11.19541,11.13144,11.17409,274320.0
2018-09-14,11.17409,11.21674,11.15276,11.17409,296230.0
2018-09-17,11.17409,11.17409,11.08879,11.13144,296810.0
2018-09-18,11.13144,11.13144,10.896870000000002,11.13144,341310.0
2018-09-19,11.15276,11.19541,11.08879,11.17409,403380.0
2018-09-20,11.19541,11.28071,11.17409,11.19541,451650.0
2018-09-21,11.19541,11.25939,11.17409,11.19541,458990.0
2018-09-24,11.21674,11.25939,11.17409,11.19541,179800.0
2018-09-25,11.19541,11.19541,11.02481,11.06746,352600.0
2018-09-26,11.08879,11.32336,11.00349,11.08879,280770.0
2018-09-27,11.08879,11.17409,11.06746,11.08879,237590.0
2018-09-28,11.08879,11.17409,11.04614,11.17409,377090.0
2018-10-01,11.17409,11.23806,11.15276,11.17409,334990.0
2018-10-02,11.17409,11.30203,11.06746,11.15276,462710.0
2018-10-03,11.17409,11.23806,11.15276,11.21674,493170.0
2018-10-04,11.21674,11.60058,11.21674,11.51528,918360.0
2018-10-05,11.55793,11.57925,11.45131,11.51528,691450.0
2018-10-08,11.53661,11.53661,11.30203,11.36601,586980.0
2018-10-09,11.25939,11.40866,11.21674,11.38733,1065850.0
2018-10-10,11.38733,11.42998,11.34468,11.38733,557840.0
2018-10-11,10.6623,11.08879,10.61965,10.61965,500890.0
2018-10-12,10.59832,10.79024,10.59832,10.72627,376500.0
2018-10-15,10.70495,10.72627,9.97991,10.2358,336550.0
2018-10-16,10.25713,10.34243,10.2358,10.29978,328810.0
2018-10-17,10.3211,10.6623,10.3211,10.44905,321550.0
2018-10-18,10.47038,10.55567,10.4064,10.42773,279180.0
2018-10-19,10.4064,10.44905,10.3211,10.42773,308190.0
2018-10-22,10.42773,10.70495,10.42773,10.491700000000002,386440.0
2018-10-23,10.51302,10.51302,10.38508,10.4064,315760.0
2018-10-24,10.42773,10.51302,10.4064,10.47038,316220.0
2018-10-25,10.42773,10.47038,10.29978,10.44905,249910.0
2018-10-26,10.51302,10.6623,10.51302,10.59832,269600.0
2018-10-29,10.59832,10.61965,10.51302,10.59832,217050.0
2018-10-30,10.59832,10.7476,10.59832,10.6623,368350.0
2018-10-31,10.87554,11.02481,10.87554,11.02481,308320.0
2018-11-01,11.30203,11.30203,10.96084,10.98217,285340.0
2018-11-05,10.44905,10.577,10.42773,10.55567,481700.0
2018-11-06,10.55567,10.61965,10.53435,10.55567,248270.0
2018-11-07,10.55567,10.70495,10.55567,10.6623,255460.0
2018-11-08,10.6623,10.83289,10.51302,10.79024,631830.0
2018-11-09,10.79024,10.91819,10.6623,10.70495,563400.0
2018-11-12,10.70495,10.896870000000002,10.64097,10.896870000000002,234920.0
2018-11-13,10.87554,10.87554,10.76892,10.85422,206970.0
2018-11-14,10.85422,10.91819,10.85422,10.87554,180650.0
2018-11-15,10.896870000000002,10.91819,10.83289,10.896870000000002,233890.0
2018-11-16,10.91819,11.08879,10.91819,11.06746,252140.0
2018-11-20,11.19541,11.19541,11.13144,11.17409,286420.0
2018-11-21,11.17409,11.51528,11.06746,11.47263,307800.0
2018-11-22,11.72853,11.98442,11.47263,11.98442,1262510.0
2018-11-28,11.04614,11.04614,10.6623,10.83289,313540.0
2018-11-29,11.00349,11.00349,10.81157,10.83289,237440.0
2018-11-30,10.96084,10.96084,10.64097,10.72627,383620.0
2018-12-03,11.04614,11.30203,10.87554,11.28071,473550.0
2018-12-04,11.28071,11.30203,11.08879,11.08879,307480.0
2018-12-05,11.08879,11.30203,11.02481,11.25939,459590.0
2018-12-06,11.30203,11.42998,11.21674,11.30203,575460.0
2018-12-07,12.02001,12.02001,11.69219,11.99269,867780.0
2018-12-10,11.96538,11.96538,11.71951,11.74683,447020.0
2018-12-11,11.71951,11.71951,11.52828,11.5556,321360.0
2018-12-12,11.5556,11.69219,11.5556,11.61024,212930.0
2018-12-13,11.74683,11.80147,11.61024,11.61024,223200.0
2018-12-14,11.69219,11.71951,11.52828,11.5556,324020.0
