date,open,high,low,close,volume
2018-06-04,23.070000,23.540000,23.000000,23.440000,1150670
2018-06-05,23.570000,23.870000,23.420000,23.720000,1347750
2018-06-06,23.820000,24.060000,23.470000,24.060000,1017540
2018-06-07,24.260000,24.260000,23.670000,23.720000,1138280
2018-06-08,23.770000,23.920000,23.570000,23.790000,1050890
2018-06-11,23.690000,23.790000,23.570000,23.570000,721890
2018-06-12,23.570000,23.570000,22.680000,22.970000,1257200
2018-06-13,22.820000,23.270000,22.820000,23.220000,452120
2018-06-14,23.320000,23.440000,23.120000,23.120000,460360
2018-06-15,22.970000,23.170000,22.950000,23.070000,442100
2018-06-18,23.270000,23.270000,22.530000,22.530000,693660
2018-06-19,22.380000,22.380000,21.190000,22.080000,2015520
2018-06-20,22.280000,22.530000,21.830000,22.530000,650560
2018-06-21,22.530000,22.530000,21.880000,22.030000,349770
2018-06-22,21.980000,22.330000,21.780000,22.330000,375270
2018-06-25,22.530000,22.530000,22.280000,22.380000,511540
2018-06-27,22.280000,22.280000,21.960000,21.980000,256990
2018-06-28,21.980000,21.980000,21.090000,21.090000,1175250
2018-06-29,21.090000,21.340000,20.590000,20.590000,759780
2018-07-02,20.590000,20.790000,19.850000,19.950000,979030
2018-07-03,19.950000,20.170000,19.350000,19.350000,1351030
2018-07-04,19.380000,19.850000,19.100000,19.850000,980200
2018-07-05,19.850000,19.900000,19.100000,19.600000,711240
2018-07-06,19.350000,20.690000,19.300000,20.240000,913260
2018-07-09,20.340000,20.520000,19.750000,19.920000,583920
2018-07-10,20.000000,20.190000,19.850000,20.050000,249100
2018-07-11,19.600000,19.850000,19.150000,19.450000,801770
2018-07-12,19.150000,19.670000,19.100000,19.250000,684480
2018-07-13,19.600000,20.240000,19.500000,20.140000,1060620
2018-07-16,20.390000,20.590000,20.170000,20.290000,645230
2018-07-17,20.190000,20.790000,20.120000,20.790000,1297460
2018-07-18,20.840000,21.290000,20.790000,21.290000,1096080
2018-07-19,20.940000,21.290000,20.940000,21.090000,753150
2018-07-20,20.990000,20.990000,20.470000,20.640000,851350
2018-07-23,20.940000,21.190000,20.760000,20.840000,1111700
2018-07-25,20.990000,21.730000,20.940000,21.040000,1326030
2018-07-26,21.190000,21.340000,20.890000,21.110000,717640
2018-07-27,21.290000,21.780000,21.110000,21.480000,1291840
2018-07-30,21.530000,21.580000,21.430000,21.480000,1197220
2018-07-31,21.480000,21.580000,21.240000,21.240000,1591210
2018-08-01,21.190000,21.360000,20.790000,20.840000,2431450
2018-08-02,20.840000,21.190000,20.640000,21.190000,726710
2018-08-03,21.340000,21.390000,21.040000,21.140000,719840
2018-08-06,21.040000,21.190000,20.960000,20.960000,350030
2018-08-07,20.990000,20.990000,20.720000,20.810000,645810
2018-08-08,20.810000,21.140000,20.790000,21.090000,764020
