date,open,high,low,close,volume
2018-06-04,7.920000,8.100000,7.830000,7.920000,52900
2018-06-05,7.920000,7.920000,7.560000,7.560000,201900
2018-06-06,7.650000,7.650000,7.560000,7.560000,187800
2018-06-07,7.560000,7.920000,7.560000,7.920000,144800
2018-06-08,7.650000,7.650000,7.470000,7.560000,136900
2018-06-11,7.560000,7.650000,7.560000,7.560000,60400
2018-06-12,7.560000,7.560000,7.380000,7.470000,112600
2018-06-13,7.470000,7.560000,7.470000,7.560000,33700
2018-06-14,7.470000,7.470000,6.840000,7.200000,182100
2018-06-15,7.290000,7.290000,7.200000,7.200000,95300
2018-06-18,7.200000,7.200000,6.480000,7.200000,106100
2018-06-19,7.020000,7.020000,6.030000,6.210000,166500
2018-06-20,6.570000,7.290000,6.570000,7.200000,161400
2018-06-21,7.200000,7.200000,6.840000,7.200000,141300
2018-06-22,6.930000,7.290000,6.840000,7.020000,247200
2018-06-25,7.200000,7.290000,7.020000,7.290000,231700
2018-06-27,7.470000,8.280000,7.470000,8.190000,295200
2018-06-28,8.190000,8.280000,7.830000,8.100000,59600
2018-06-29,8.190000,8.190000,7.920000,8.010000,64400
2018-07-02,8.010000,8.010000,7.920000,7.920000,30200
2018-07-03,7.110000,7.830000,7.110000,7.830000,32300
2018-07-04,7.560000,8.550000,7.560000,8.190000,139400
2018-07-05,8.010000,8.190000,7.110000,7.650000,200300
2018-07-06,7.470000,7.650000,7.470000,7.650000,90000
2018-07-09,7.650000,7.740000,7.650000,7.740000,20500
2018-07-10,7.380000,7.650000,7.290000,7.650000,69100
2018-07-11,7.470000,7.470000,7.290000,7.470000,472100
2018-07-12,7.470000,7.470000,7.200000,7.200000,64000
2018-07-13,7.470000,7.470000,7.380000,7.380000,372000
2018-07-16,7.380000,7.380000,7.200000,7.380000,187000
2018-07-17,7.200000,7.200000,7.020000,7.110000,33900
2018-07-18,7.380000,7.380000,7.110000,7.110000,27200
2018-07-19,7.020000,7.110000,6.750000,7.110000,101800
2018-07-20,7.110000,7.830000,7.110000,7.830000,114400
2018-07-23,7.830000,8.010000,7.650000,7.830000,500
2018-07-25,7.740000,7.740000,7.290000,7.380000,60200
2018-07-26,7.380000,7.650000,7.380000,7.650000,882600
2018-07-27,7.380000,7.650000,7.380000,7.380000,246900
2018-07-30,7.380000,7.380000,7.290000,7.380000,5400
2018-07-31,7.290000,7.380000,7.200000,7.200000,74900
2018-08-01,7.200000,7.380000,7.200000,7.380000,81600
