date,open,high,low,close,volume
2018-06-04,15.500000,16.220000,15.310000,16.220000,2343110
2018-06-05,16.220000,16.600000,16.110000,16.290000,2204580
2018-06-06,16.290000,16.410000,16.140000,16.290000,1099960
2018-06-07,16.260000,16.900000,16.180000,16.820000,1512020
2018-06-08,16.780000,16.840000,16.290000,16.370000,863640
2018-06-11,16.030000,16.140000,15.800000,15.800000,1676050
2018-06-12,15.650000,15.650000,14.710000,15.430000,2322470
2018-06-13,15.430000,15.840000,15.430000,15.460000,377960
2018-06-14,15.650000,15.650000,14.780000,14.780000,348610
2018-06-15,14.780000,14.940000,14.410000,14.750000,1092080
2018-06-18,14.520000,14.900000,13.730000,13.880000,1403380
2018-06-19,13.050000,14.110000,13.050000,13.880000,3075220
2018-06-20,12.940000,14.430000,12.940000,14.190000,932640
2018-06-21,14.270000,14.390000,14.070000,14.270000,406740
2018-06-22,14.270000,14.620000,14.070000,14.620000,1144370
2018-06-25,14.740000,14.760000,14.540000,14.580000,299190
2018-06-27,14.390000,14.620000,14.150000,14.150000,336910
2018-06-28,14.040000,14.110000,13.490000,13.530000,757470
2018-06-29,13.800000,14.130000,13.610000,14.130000,1234320
2018-07-02,14.130000,14.230000,13.640000,14.150000,862020
2018-07-03,14.190000,14.270000,13.450000,13.570000,2350580
2018-07-04,13.290000,13.640000,13.140000,13.410000,1296750
2018-07-05,13.570000,13.640000,12.710000,12.820000,1595010
2018-07-06,12.820000,13.680000,12.350000,13.680000,3135130
2018-07-09,13.720000,13.920000,13.640000,13.760000,1255590
2018-07-10,13.680000,14.090000,13.640000,13.720000,598240
2018-07-11,13.490000,13.530000,12.770000,12.820000,1553920
2018-07-12,12.820000,13.100000,12.710000,12.900000,1495050
2018-07-13,12.900000,13.140000,12.880000,13.080000,1692220
2018-07-16,13.140000,13.200000,13.000000,13.120000,1286340
2018-07-17,13.120000,13.120000,12.820000,13.120000,1614890
2018-07-18,13.160000,13.900000,13.160000,13.780000,2167560
2018-07-19,13.800000,14.110000,13.720000,13.720000,1856420
2018-07-20,13.680000,13.840000,13.290000,13.840000,1708540
2018-07-23,13.680000,13.900000,13.610000,13.760000,1336380
2018-07-25,13.290000,13.510000,13.020000,13.100000,951530
2018-07-26,13.100000,13.120000,12.710000,12.820000,1232550
2018-07-27,13.140000,13.140000,12.900000,13.060000,804460
2018-07-30,13.410000,13.760000,13.330000,13.760000,846700
2018-07-31,13.760000,14.020000,13.450000,13.920000,1501400
2018-08-01,13.960000,14.110000,13.920000,13.980000,2113740
2018-08-02,13.980000,13.980000,13.610000,13.760000,1148030
2018-08-03,13.780000,14.070000,13.720000,14.020000,2661080
2018-08-06,14.020000,14.070000,13.880000,14.020000,1511810
2018-08-07,14.020000,14.350000,13.960000,14.150000,2250840
2018-08-08,14.170000,14.350000,14.070000,14.270000,1205980
2018-08-09,14.310000,14.470000,14.230000,14.230000,1752060
2018-08-10,14.230000,14.510000,14.150000,14.500000,2193310
2018-08-13,14.500000,14.620000,14.390000,14.620000,1514640
2018-08-14,14.520000,14.660000,14.230000,14.620000,1311490
2018-08-15,14.620000,14.780000,14.190000,14.270000,1012930
2018-08-16,14.070000,14.470000,13.960000,14.330000,1176710
2018-08-17,14.350000,14.430000,14.040000,14.040000,937170
2018-08-20,14.040000,14.060000,13.510000,13.680000,1385060
2018-08-21,13.680000,13.880000,13.640000,13.880000,1140970
2018-08-22,13.900000,14.150000,13.880000,14.070000,1105020
2018-08-23,14.070000,14.150000,14.000000,14.040000,1091800
2018-08-24,14.040000,14.090000,13.960000,14.070000,1640170
2018-08-27,14.090000,14.130000,14.040000,14.070000,904340
2018-08-28,14.070000,14.130000,14.060000,14.090000,1050000
2018-08-29,14.110000,14.540000,14.070000,14.540000,2510990
2018-08-30,14.540000,14.950000,14.500000,14.940000,2950700
2018-08-31,14.940000,14.950000,14.780000,14.920000,1595260
2018-09-04,14.860000,14.860000,14.580000,14.620000,1424210
2018-09-05,14.620000,14.660000,14.290000,14.470000,1248240
2018-09-06,14.470000,14.500000,14.190000,14.270000,822860
2018-09-07,14.270000,14.410000,14.190000,14.330000,1175460
2018-09-10,14.330000,14.540000,14.330000,14.470000,935940
2018-09-11,14.520000,14.620000,14.450000,14.500000,1228580
2018-09-12,14.520000,14.660000,14.490000,14.500000,956470
2018-09-13,14.520000,15.110000,14.520000,15.090000,3510820
2018-09-14,15.090000,15.230000,14.990000,15.090000,1760330
2018-09-17,15.090000,15.130000,14.970000,15.010000,1118330
2018-09-18,14.860000,14.950000,14.740000,14.950000,1235490
2018-09-19,14.950000,15.090000,14.950000,15.050000,1400510
2018-09-20,15.050000,15.190000,14.970000,15.190000,1453330
2018-09-21,15.210000,15.230000,14.940000,15.190000,1531720
2018-09-24,15.190000,15.370000,15.190000,15.250000,1568970
2018-09-25,15.250000,15.270000,15.150000,15.210000,1583720
2018-09-26,15.210000,15.230000,14.970000,15.090000,1776240
2018-09-27,15.090000,15.190000,15.030000,15.070000,1612480
2018-09-28,15.070000,15.230000,15.050000,15.190000,1933300
2018-10-01,15.190000,15.540000,15.190000,15.400000,2572230
2018-10-02,15.400000,15.440000,15.290000,15.330000,1651980
2018-10-03,15.330000,15.440000,15.290000,15.420000,1658100
2018-10-04,15.440000,15.500000,14.920000,15.150000,2438910
2018-10-05,15.150000,15.190000,14.860000,14.860000,1302170
2018-10-08,14.700000,14.860000,14.470000,14.780000,1623300
2018-10-09,14.780000,14.860000,14.660000,14.740000,1567140
2018-10-10,14.740000,14.820000,14.660000,14.780000,1622700
2018-10-11,14.470000,14.470000,13.800000,14.110000,1148170
2018-10-12,14.000000,14.330000,13.920000,14.270000,1451810
2018-10-15,14.270000,14.290000,13.630000,13.880000,1388600
2018-10-16,13.880000,14.470000,13.720000,14.470000,1748130
2018-10-17,14.470000,14.620000,14.470000,14.520000,1543500
2018-10-18,14.520000,14.520000,14.270000,14.450000,1439970
2018-10-19,14.270000,14.270000,14.000000,14.190000,1584310
2018-10-22,14.190000,14.410000,14.190000,14.270000,1527490
2018-10-23,14.070000,14.270000,13.920000,14.070000,1139000
2018-10-24,14.070000,14.170000,13.680000,13.680000,2303360
2018-10-25,13.290000,13.490000,13.290000,13.410000,2373490
2018-10-26,13.470000,13.740000,13.410000,13.450000,2942910
2018-10-29,13.450000,13.550000,13.100000,13.330000,1778800
2018-10-30,13.330000,13.430000,12.900000,12.980000,1712920
