date,open,high,low,close,volume
2018-06-04,14.260000,15.010000,14.330000,15.010000,5646190
2018-06-05,15.010000,15.060000,14.630000,14.760000,6122250
2018-06-06,14.760000,15.260000,14.630000,15.210000,6063330
2018-06-07,15.210000,15.610000,15.210000,15.480000,5446810
2018-06-08,15.480000,15.510000,15.310000,15.330000,3600330
2018-06-11,15.330000,15.430000,15.130000,15.160000,8041000
2018-06-12,15.160000,15.510000,14.600000,14.880000,10591380
2018-06-13,14.880000,15.270000,14.810000,15.200000,3666430
2018-06-14,15.200000,15.560000,14.900000,14.920000,6574380
2018-06-15,14.920000,15.060000,14.640000,15.060000,4820810
2018-06-18,15.060000,15.060000,14.080000,14.080000,7388100
2018-06-19,14.080000,14.080000,13.130000,13.430000,13163240
2018-06-20,13.430000,14.010000,13.240000,14.010000,5767930
2018-06-21,14.010000,14.010000,13.660000,13.740000,3879280
2018-06-22,13.740000,14.340000,13.590000,14.340000,7178290
2018-06-25,14.340000,14.760000,14.370000,14.530000,3464240
2018-06-27,14.390000,14.410000,13.830000,13.830000,3374170
2018-06-28,13.830000,13.940000,13.520000,13.600000,4260340
2018-06-29,13.600000,13.730000,13.290000,13.450000,5171070
2018-07-02,13.450000,13.480000,12.960000,13.450000,6223040
2018-07-03,13.450000,13.590000,12.710000,12.710000,5823250
2018-07-04,12.710000,13.110000,12.680000,12.990000,3769000
2018-07-05,12.990000,13.130000,12.540000,12.640000,4246120
2018-07-06,12.640000,13.240000,12.330000,12.890000,5279160
2018-07-09,12.890000,13.130000,12.400000,12.500000,3847250
2018-07-10,12.500000,12.640000,12.430000,12.430000,3023470
2018-07-11,12.430000,12.430000,11.840000,12.050000,7028880
2018-07-12,12.050000,12.050000,11.630000,11.820000,3327390
2018-07-13,11.820000,12.480000,11.920000,12.470000,4729750
2018-07-16,12.470000,12.690000,12.380000,12.430000,3329260
2018-07-17,12.430000,12.660000,12.260000,12.640000,3378710
2018-07-18,12.640000,13.080000,12.640000,13.030000,6330670
2018-07-19,13.030000,13.220000,12.990000,13.030000,3514150
2018-07-20,13.030000,13.030000,12.690000,12.850000,4976130
2018-07-23,12.850000,13.170000,12.820000,12.940000,5595420
2018-07-25,12.400000,12.540000,12.330000,12.430000,5722050
2018-07-26,12.430000,12.780000,12.400000,12.780000,8216850
2018-07-27,12.780000,13.080000,12.730000,13.060000,4810640
2018-07-30,13.060000,13.240000,12.920000,12.970000,6039970
2018-07-31,12.970000,13.180000,12.800000,13.080000,5772660
2018-08-01,13.080000,13.360000,13.060000,13.170000,6858830
2018-08-02,13.170000,13.170000,12.780000,13.040000,6073010
2018-08-03,13.040000,13.150000,12.710000,12.710000,5949600
2018-08-06,12.710000,12.730000,12.470000,12.660000,4646830
2018-08-07,12.660000,12.660000,12.540000,12.660000,4866190
2018-08-08,12.660000,12.900000,12.640000,12.850000,3433350
2018-08-09,12.850000,13.030000,12.780000,12.800000,4586550
2018-08-10,12.800000,12.990000,12.760000,12.960000,4206330
2018-08-13,12.960000,13.430000,12.850000,13.410000,11400140
2018-08-14,13.410000,13.620000,13.390000,13.480000,5313160
2018-08-15,13.480000,13.570000,13.060000,13.130000,4685310
2018-08-16,13.130000,13.200000,12.940000,13.130000,6993170
2018-08-17,13.130000,13.380000,13.110000,13.200000,3745240
2018-08-20,13.200000,13.200000,13.010000,13.040000,3542590
2018-08-21,13.040000,13.130000,12.970000,13.130000,3423060
2018-08-22,13.130000,13.450000,13.110000,13.310000,6056930
2018-08-23,13.310000,13.430000,13.270000,13.340000,3848180
2018-08-24,13.340000,13.450000,13.240000,13.430000,5677060
2018-08-27,13.430000,13.760000,13.480000,13.640000,5469600
2018-08-28,13.640000,14.080000,13.660000,13.970000,11013110
2018-08-29,13.970000,14.230000,13.870000,13.870000,6878210
2018-08-30,13.870000,13.940000,13.710000,13.880000,6445830
2018-08-31,13.880000,14.130000,13.870000,13.990000,6134410
2018-09-04,13.990000,13.990000,13.660000,13.660000,4474530
2018-09-05,13.660000,13.740000,13.480000,13.520000,4632970
2018-09-06,13.520000,13.730000,13.480000,13.530000,4485480
2018-09-07,13.530000,13.940000,13.520000,13.900000,5407420
2018-09-10,13.900000,13.940000,13.730000,13.730000,2575640
2018-09-11,13.730000,14.080000,13.670000,14.010000,6918510
2018-09-12,14.010000,14.090000,13.830000,13.830000,5608340
2018-09-13,13.830000,14.090000,13.830000,13.920000,4751230
2018-09-14,13.920000,14.020000,13.830000,13.830000,4652530
2018-09-17,13.830000,13.880000,13.710000,13.810000,2372700
2018-09-18,13.810000,13.810000,13.590000,13.810000,7281960
2018-09-19,13.810000,13.970000,13.870000,13.880000,4490210
2018-09-20,13.880000,14.320000,13.900000,14.320000,9974190
