date,open,high,low,close,volume
2018-06-04,42.460000,44.790000,42.080000,44.560000,3837380
2018-06-05,44.040000,44.790000,43.360000,44.040000,3532580
2018-06-06,43.660000,44.860000,43.280000,44.410000,2183260
2018-06-07,44.340000,44.560000,43.890000,44.110000,2538580
2018-06-08,43.810000,45.390000,43.810000,44.860000,2693680
2018-06-11,44.640000,45.310000,43.960000,44.340000,2453150
2018-06-12,43.960000,44.340000,42.460000,43.590000,3024500
2018-06-13,43.280000,45.010000,43.280000,45.010000,2054850
2018-06-14,45.010000,45.010000,43.590000,43.660000,2814340
2018-06-15,43.210000,44.340000,43.130000,44.340000,2557670
2018-06-18,44.260000,44.340000,42.080000,42.460000,2461860
2018-06-19,40.960000,42.460000,40.580000,42.460000,5149160
2018-06-20,42.830000,44.110000,42.230000,43.660000,2767440
2018-06-21,43.590000,43.740000,42.380000,42.830000,1637920
2018-06-22,42.160000,44.110000,41.710000,44.110000,2529630
2018-06-25,45.090000,45.240000,44.260000,44.640000,2415610
2018-06-27,44.340000,45.460000,43.590000,43.590000,2602270
2018-06-28,42.830000,44.110000,42.830000,43.510000,2114670
2018-06-29,43.510000,44.110000,42.680000,43.590000,1439520
2018-07-02,43.210000,43.890000,41.630000,43.660000,2846420
2018-07-03,43.810000,43.810000,42.080000,42.080000,3355250
2018-07-04,42.230000,42.460000,41.110000,41.780000,2452480
2018-07-05,41.630000,41.780000,39.080000,39.080000,2865870
2018-07-06,38.400000,41.630000,37.950000,41.330000,3443450
2018-07-09,41.330000,42.380000,40.580000,40.580000,1434270
2018-07-10,41.710000,41.710000,39.900000,39.900000,1360490
2018-07-11,39.000000,39.450000,37.650000,38.480000,3312190
2018-07-12,38.480000,40.280000,37.950000,39.380000,1422890
2018-07-13,40.050000,41.260000,39.080000,41.180000,1709410
2018-07-16,41.330000,41.710000,40.810000,41.260000,1302130
2018-07-17,40.580000,41.930000,40.580000,41.930000,1594780
2018-07-18,41.930000,43.210000,41.930000,43.210000,2473610
2018-07-19,43.360000,43.440000,42.610000,42.680000,1704000
2018-07-20,42.460000,42.980000,41.410000,42.680000,2204900
2018-07-23,42.680000,43.890000,42.460000,42.530000,2618240
2018-07-25,43.060000,43.130000,41.560000,41.560000,1257900
