date,open,high,low,close,volume
2018-06-04,6.850000,7.540000,6.850000,7.410000,241940
2018-06-05,7.410000,7.780000,7.340000,7.440000,231470
2018-06-06,7.440000,7.460000,7.340000,7.410000,203835
2018-06-07,7.460000,7.710000,7.440000,7.630000,321188
2018-06-08,7.590000,7.710000,7.490000,7.680000,196600
2018-06-11,7.590000,7.710000,7.490000,7.660000,136430
2018-06-12,7.560000,7.590000,7.290000,7.440000,221750
2018-06-13,7.390000,7.490000,7.340000,7.410000,65360
2018-06-14,7.340000,7.590000,7.100000,7.220000,258925
2018-06-15,7.190000,7.220000,7.150000,7.170000,71408
2018-06-18,7.170000,7.170000,6.880000,6.970000,74900
2018-06-19,6.850000,6.850000,6.480000,6.730000,332150
2018-06-20,6.730000,6.850000,6.630000,6.710000,292100
2018-06-21,6.730000,6.730000,6.560000,6.610000,179910
2018-06-22,6.660000,6.730000,6.610000,6.630000,113860
2018-06-25,6.730000,7.070000,6.680000,6.750000,99960
2018-06-27,6.730000,6.730000,6.610000,6.610000,139110
2018-06-28,6.610000,6.610000,6.530000,6.560000,102785
2018-06-29,6.560000,6.730000,6.480000,6.610000,127100
2018-07-02,6.480000,6.480000,6.240000,6.310000,105050
2018-07-03,6.360000,6.360000,5.870000,6.120000,133870
2018-07-04,6.240000,6.240000,5.920000,6.020000,115940
2018-07-05,5.900000,6.000000,5.630000,5.630000,183200
2018-07-06,5.800000,6.090000,5.510000,5.900000,123610
2018-07-09,5.870000,6.120000,5.750000,5.850000,187190
2018-07-10,6.000000,6.120000,5.920000,6.120000,122857
2018-07-11,6.120000,6.120000,5.730000,5.870000,221260
2018-07-12,5.950000,6.090000,5.870000,6.000000,136405
2018-07-13,6.000000,6.140000,5.970000,6.140000,208367
2018-07-16,6.120000,6.510000,6.070000,6.310000,88160
2018-07-17,6.290000,6.410000,6.140000,6.360000,289500
2018-07-18,6.360000,6.750000,6.360000,6.750000,196967
2018-07-19,6.680000,6.970000,6.680000,6.850000,121080
2018-07-20,6.660000,6.780000,6.510000,6.780000,154600
2018-07-23,6.850000,7.070000,6.850000,6.900000,218470
2018-07-25,6.780000,6.800000,6.560000,6.560000,145406
2018-07-26,6.580000,6.580000,6.440000,6.530000,122983
2018-07-27,6.510000,6.710000,6.510000,6.610000,174447
2018-07-30,6.630000,6.680000,6.460000,6.660000,264477
2018-07-31,6.660000,6.680000,6.480000,6.680000,140610
2018-08-01,6.580000,6.660000,6.510000,6.560000,136000
2018-08-02,6.560000,6.560000,6.440000,6.440000,153300
2018-08-03,6.580000,6.630000,6.510000,6.580000,133560
2018-08-06,6.510000,6.580000,6.510000,6.530000,35850
2018-08-07,6.560000,6.580000,6.530000,6.530000,50110
2018-08-08,6.610000,6.750000,6.610000,6.730000,124484
2018-08-09,6.730000,6.830000,6.680000,6.710000,65537
2018-08-10,6.750000,6.750000,6.610000,6.730000,48130
2018-08-13,6.680000,6.880000,6.630000,6.850000,316830
2018-08-14,6.800000,7.020000,6.780000,6.900000,312454
2018-08-15,6.930000,7.290000,6.930000,6.950000,325463
2018-08-16,6.930000,6.970000,6.780000,6.950000,282780
2018-08-17,6.930000,7.150000,6.900000,7.020000,308447
2018-08-20,7.020000,7.290000,7.020000,7.150000,201856
2018-08-21,7.150000,7.150000,7.020000,7.050000,187478
2018-08-22,7.100000,7.150000,7.000000,7.070000,148473
2018-08-23,7.000000,7.050000,6.930000,7.020000,79536
2018-08-24,6.970000,7.000000,6.800000,6.950000,215500
2018-08-27,6.880000,7.070000,6.880000,6.900000,256327
2018-08-28,6.930000,6.930000,6.710000,6.750000,311046
2018-08-29,6.780000,6.800000,6.730000,6.750000,150166
2018-08-30,6.750000,6.780000,6.710000,6.780000,131330
2018-08-31,6.780000,6.830000,6.750000,6.830000,134172
2018-09-04,6.750000,6.780000,6.560000,6.560000,161706
2018-09-05,6.610000,6.660000,6.390000,6.390000,194858
2018-09-06,6.360000,6.480000,6.310000,6.440000,160024
2018-09-07,6.340000,6.580000,6.340000,6.560000,141564
2018-09-10,6.530000,6.560000,6.510000,6.530000,75950
2018-09-11,6.530000,6.710000,6.530000,6.710000,159062
2018-09-12,6.680000,6.750000,6.680000,6.730000,110337
2018-09-13,6.730000,6.750000,6.610000,6.710000,84362
2018-09-14,6.710000,6.750000,6.680000,6.750000,80439
2018-09-17,6.730000,6.750000,6.710000,6.730000,214360
2018-09-18,6.680000,6.710000,6.630000,6.660000,82001
2018-09-19,6.660000,6.800000,6.660000,6.730000,124830
2018-09-20,6.730000,6.830000,6.730000,6.830000,65009
2018-09-21,6.750000,7.000000,6.750000,7.000000,394745
2018-09-24,7.070000,7.150000,6.950000,7.150000,294120
2018-09-25,7.100000,7.150000,7.070000,7.100000,82285
2018-09-26,6.950000,7.150000,6.950000,7.100000,154326
2018-09-27,7.100000,7.150000,7.050000,7.070000,193540
2018-09-28,7.070000,7.240000,7.000000,7.220000,245696
2018-10-01,7.170000,7.390000,7.170000,7.240000,299675
2018-10-02,7.240000,7.320000,7.190000,7.220000,145154
2018-10-03,7.240000,7.240000,7.100000,7.150000,148574
2018-10-04,7.100000,7.220000,7.100000,7.190000,157062
2018-10-05,7.190000,7.190000,7.070000,7.100000,232935
2018-10-08,7.170000,7.220000,7.000000,7.050000,96360
2018-10-09,7.000000,7.100000,7.000000,7.050000,95550
2018-10-10,7.020000,7.320000,6.970000,7.100000,133675
2018-10-11,7.000000,7.000000,6.240000,6.630000,355890
2018-10-12,6.530000,6.830000,6.360000,6.750000,181585
2018-10-15,6.680000,6.800000,6.660000,6.680000,97020
2018-10-16,6.710000,6.830000,6.710000,6.730000,44371
2018-10-17,6.750000,6.850000,6.710000,6.750000,117118
2018-10-18,6.750000,6.780000,6.680000,6.750000,38940
2018-10-19,6.730000,6.800000,6.610000,6.800000,133103
2018-10-22,6.780000,6.850000,6.750000,6.750000,165925
2018-10-23,6.750000,6.750000,6.580000,6.710000,114162
2018-10-24,6.660000,6.730000,6.510000,6.510000,98910
2018-10-25,6.480000,6.480000,6.240000,6.460000,191387
2018-10-26,6.460000,6.480000,6.340000,6.360000,151443
2018-10-29,6.360000,6.480000,6.360000,6.360000,71305
2018-10-30,6.360000,6.560000,6.360000,6.510000,37830
2018-10-31,6.480000,6.710000,6.480000,6.610000,37810
