date,open,high,low,close,volume
2018-06-04,96.730000,100.760000,97.190000,100.640000,965230
2018-06-05,100.640000,104.360000,100.640000,102.670000,879160
2018-06-06,102.670000,102.670000,100.640000,101.510000,463720
2018-06-07,101.510000,103.190000,101.910000,102.840000,401900
2018-06-08,102.840000,102.840000,101.570000,102.670000,505520
2018-06-11,102.670000,105.570000,102.380000,104.470000,721050
2018-06-12,104.470000,104.990000,103.250000,104.990000,873690
2018-06-13,104.990000,104.990000,104.060000,104.990000,472470
2018-06-14,104.990000,104.990000,103.650000,104.410000,767750
2018-06-15,104.410000,104.700000,103.250000,104.410000,1114730
2018-06-18,104.410000,104.410000,100.170000,100.170000,356320
2018-06-19,100.170000,100.170000,95.770000,96.460000,1076550
2018-06-20,96.460000,98.490000,96.170000,97.910000,569890
2018-06-21,97.910000,98.900000,97.450000,98.610000,381390
2018-06-22,98.610000,103.540000,97.740000,103.250000,1123650
2018-06-25,103.250000,105.570000,103.540000,103.940000,637320
2018-06-27,102.030000,102.030000,101.280000,101.510000,320100
2018-06-28,101.510000,101.510000,98.030000,98.610000,748160
2018-06-29,98.610000,100.060000,98.610000,98.610000,1164710
2018-07-02,98.610000,99.190000,98.030000,99.190000,974640
2018-07-03,99.190000,99.190000,98.030000,98.610000,1055480
2018-07-04,98.610000,98.610000,96.870000,96.870000,856350
2018-07-05,96.870000,97.450000,95.130000,95.710000,880690
2018-07-06,95.710000,98.610000,95.130000,96.290000,449020
2018-07-09,96.290000,98.320000,96.750000,96.870000,320530
2018-07-10,96.870000,97.970000,96.870000,96.870000,701800
2018-07-11,96.870000,97.740000,96.290000,96.870000,729620
2018-07-12,96.870000,97.910000,96.870000,97.620000,158530
2018-07-13,97.620000,97.910000,96.170000,96.460000,384360
2018-07-16,96.460000,97.620000,96.170000,97.450000,557460
2018-07-17,97.450000,97.450000,96.520000,97.390000,588420
2018-07-18,97.390000,98.030000,97.160000,98.030000,503880
2018-07-19,98.030000,100.350000,98.030000,98.900000,970590
2018-07-20,98.900000,99.070000,98.140000,98.320000,620700
2018-07-23,98.320000,99.650000,97.560000,98.610000,685300
2018-07-25,98.550000,98.840000,98.550000,98.550000,427050
2018-07-26,98.550000,99.480000,98.030000,99.480000,519640
2018-07-27,99.480000,99.480000,97.800000,97.910000,290680
2018-07-30,97.910000,98.550000,97.330000,97.740000,453180
2018-07-31,97.740000,98.030000,96.870000,97.560000,634220
2018-08-01,97.560000,97.560000,96.640000,96.810000,684770
2018-08-02,96.810000,96.810000,93.790000,95.710000,1590510
2018-08-03,95.710000,95.710000,93.560000,93.740000,1232510
2018-08-06,93.740000,93.970000,92.520000,92.750000,1238870
2018-08-07,92.750000,92.810000,88.750000,88.750000,2337260
2018-08-08,88.750000,90.780000,88.170000,90.200000,1267410
2018-08-09,90.200000,92.690000,90.490000,91.070000,770210
2018-08-10,91.070000,91.530000,90.490000,91.180000,908450
2018-08-13,91.180000,91.180000,90.140000,90.550000,1245500
2018-08-14,90.550000,92.750000,91.530000,91.710000,995480
2018-08-15,91.710000,93.040000,91.760000,91.940000,1081050
2018-08-16,91.940000,92.000000,90.260000,92.000000,1038700
2018-08-17,92.000000,92.520000,91.940000,91.940000,408930
2018-08-20,91.940000,93.910000,92.000000,92.870000,1290170
2018-08-21,92.870000,94.550000,92.980000,94.550000,664240
2018-08-22,94.550000,95.070000,93.910000,94.550000,640010
2018-08-23,94.550000,94.720000,94.260000,94.720000,410280
2018-08-24,94.720000,94.720000,94.080000,94.080000,453010
2018-08-27,94.080000,94.550000,92.810000,92.980000,1141160
2018-08-28,92.980000,92.980000,92.230000,92.400000,1057220
2018-08-29,92.400000,92.580000,91.010000,91.420000,1124120
2018-08-30,91.420000,91.470000,90.200000,90.780000,899040
2018-08-31,90.780000,92.110000,90.890000,90.890000,726110
2018-09-04,90.890000,91.530000,90.840000,90.890000,690780
2018-09-05,90.910000,91.670000,88.280000,88.480000,1250390
2018-09-06,88.480000,89.120000,86.020000,86.090000,1234110
2018-09-07,86.090000,89.960000,86.020000,89.610000,882130
2018-09-10,89.610000,90.530000,89.750000,89.960000,603870
2018-09-11,89.960000,93.350000,89.890000,93.070000,1533670
2018-09-12,93.070000,95.040000,93.210000,93.350000,1342390
2018-09-13,93.350000,93.420000,92.220000,93.140000,655170
2018-09-14,93.140000,94.480000,93.140000,93.770000,969270
2018-09-17,93.770000,95.890000,93.980000,95.890000,1148720
2018-09-18,95.890000,97.860000,95.320000,97.300000,1310670
2018-09-19,97.300000,97.440000,96.520000,97.160000,929630
2018-09-20,97.160000,97.160000,95.890000,95.890000,771520
2018-09-21,95.890000,97.160000,95.110000,97.160000,1840850
2018-09-24,97.160000,97.160000,96.030000,96.590000,639720
2018-09-25,96.590000,96.660000,96.030000,96.520000,480150
2018-09-26,96.520000,96.520000,96.100000,96.240000,418120
2018-09-27,96.240000,98.710000,96.450000,97.650000,980840
2018-09-28,97.650000,97.930000,96.800000,96.800000,520020
2018-10-01,96.800000,96.800000,95.890000,96.100000,514820
2018-10-02,96.100000,97.010000,95.180000,96.590000,581340
2018-10-03,96.590000,96.660000,96.240000,96.520000,701280
2018-10-04,96.520000,96.590000,95.820000,96.520000,304620
2018-10-05,96.520000,96.520000,95.180000,95.320000,519180
2018-10-08,95.320000,95.320000,93.770000,93.770000,566750
2018-10-09,93.770000,93.770000,92.220000,92.290000,660630
2018-10-10,92.290000,92.290000,91.510000,91.660000,636650
2018-10-11,91.660000,91.660000,86.720000,89.540000,1182360
2018-10-12,89.540000,90.740000,87.850000,90.600000,957810
2018-10-15,90.600000,90.950000,88.550000,88.620000,692180
2018-10-16,88.620000,89.120000,88.270000,88.840000,988520
2018-10-17,88.840000,89.890000,89.050000,89.470000,444290
2018-10-18,89.470000,89.540000,88.770000,88.840000,349110
2018-10-19,88.840000,89.400000,87.500000,89.400000,1087950
2018-10-22,89.400000,89.400000,88.690000,88.690000,316450
