date,open,high,low,close,volume
2018-06-04,45.500000,45.800000,44.700000,45.600000,1301620
2018-06-05,45.600000,46.250000,45.100000,45.300000,770010
2018-06-06,45.600000,45.800000,44.850000,45.300000,862170
2018-06-07,45.500000,46.500000,45.000000,45.000000,1577590
2018-06-08,44.900000,45.200000,44.200000,44.500000,1029530
2018-06-11,44.500000,46.000000,44.500000,45.100000,1700470
2018-06-12,44.600000,45.150000,44.000000,44.500000,1835490
2018-06-13,44.500000,45.000000,44.200000,45.000000,703960
2018-06-14,45.400000,45.400000,44.500000,44.500000,658980
2018-06-15,44.000000,45.000000,43.900000,45.000000,3948110
2018-06-18,44.600000,44.900000,42.000000,42.000000,653810
2018-06-19,41.000000,42.000000,39.550000,39.900000,2291390
2018-06-20,41.000000,41.000000,39.900000,40.600000,1244080
2018-06-21,40.600000,40.600000,38.500000,38.500000,1564770
2018-06-22,38.000000,40.000000,38.000000,40.000000,2029080
2018-06-25,42.000000,42.000000,40.800000,40.800000,725800
2018-06-27,40.700000,40.700000,39.700000,39.700000,445810
2018-06-28,39.400000,39.500000,38.100000,38.100000,750120
2018-06-29,38.500000,39.050000,37.800000,38.800000,1982580
2018-07-02,39.000000,39.000000,37.400000,38.700000,1154150
2018-07-03,38.250000,38.700000,37.100000,38.300000,1347510
2018-07-04,37.900000,38.800000,37.000000,38.600000,928320
2018-07-05,38.000000,38.500000,36.300000,37.650000,640760
2018-07-06,36.400000,37.800000,36.050000,36.500000,1038790
2018-07-09,36.500000,37.950000,36.500000,36.900000,666540
2018-07-10,36.900000,37.450000,36.300000,36.300000,572200
2018-07-11,35.850000,36.200000,35.000000,35.700000,1002400
2018-07-12,35.700000,36.800000,35.700000,36.500000,870620
2018-07-13,36.500000,36.700000,36.350000,36.500000,614740
2018-07-16,37.000000,38.100000,36.450000,37.800000,1164760
2018-07-17,38.100000,40.400000,37.700000,40.400000,1512280
2018-07-18,41.000000,43.050000,41.000000,43.000000,2647250
2018-07-19,42.900000,43.000000,41.200000,43.000000,1913300
2018-07-20,42.000000,42.500000,41.200000,42.000000,2968820
2018-07-23,41.500000,42.800000,41.000000,41.850000,823830
2018-07-25,41.650000,41.700000,41.000000,41.000000,903410
2018-07-26,41.000000,41.000000,39.850000,40.100000,1817100
2018-07-27,40.600000,40.800000,39.200000,39.200000,854230
2018-07-30,40.000000,40.100000,39.500000,39.800000,789770
2018-07-31,39.800000,41.800000,39.700000,40.600000,1817460
2018-08-01,40.600000,41.000000,40.500000,40.700000,858810
2018-08-02,40.950000,40.950000,39.950000,40.050000,737700
2018-08-03,40.600000,42.400000,40.250000,41.500000,2372910
2018-08-06,41.700000,42.900000,41.600000,42.000000,1858550
2018-08-07,41.900000,42.500000,41.800000,42.000000,1033000
2018-08-08,42.000000,42.650000,41.750000,42.150000,1362870
2018-08-09,42.150000,42.450000,40.850000,41.000000,1384190
2018-08-10,40.850000,41.200000,39.950000,40.200000,1402470
2018-08-13,40.000000,40.450000,39.500000,40.200000,1104860
2018-08-14,40.500000,40.800000,40.150000,40.400000,1299900
2018-08-15,40.500000,40.600000,39.800000,39.800000,865720
2018-08-16,39.550000,40.050000,39.550000,40.000000,1346100
2018-08-17,40.000000,40.450000,39.800000,39.850000,632150
2018-08-20,39.750000,40.000000,39.500000,39.500000,758030
2018-08-21,39.500000,39.700000,39.250000,39.500000,1032810
2018-08-22,40.000000,40.250000,39.800000,39.950000,883960
2018-08-23,40.000000,41.200000,39.900000,40.600000,1373150
2018-08-24,40.850000,41.400000,40.600000,40.700000,1522280
2018-08-27,40.950000,41.000000,40.400000,40.500000,1020030
2018-08-28,40.200000,40.500000,40.000000,40.050000,1338450
